timestamp,label,conf,p_neutro,p_miedo,p_ira,p_alegria
1767891101.02757,neutro,0.7579,0.757942,0.123396,0.068233,0.050428
1767891102.7859316,neutro,0.7828,0.782786,0.126296,0.067835,0.023083
1767891104.266104,neutro,0.8105,0.810479,0.114447,0.044626,0.030448
1767891105.6066828,neutro,0.8899,0.889899,0.056674,0.018939,0.034488
1767891106.9102285,neutro,0.8833,0.883291,0.028421,0.008647,0.079641
1767891108.2567732,neutro,0.8117,0.811674,0.023385,0.008790,0.156151
1767891109.559989,neutro,0.7909,0.790910,0.015045,0.009310,0.184734
1767891110.842688,neutro,0.7440,0.743980,0.009687,0.007616,0.238718
1767891112.0908346,neutro,0.6571,0.657079,0.012140,0.009197,0.321583
1767891113.4478583,neutro,0.6018,0.601822,0.009836,0.009100,0.379243
1767891114.7747924,neutro,0.6142,0.614170,0.009521,0.008442,0.367868
1767891116.1077623,neutro,0.6228,0.622791,0.008834,0.007424,0.360951
1767891117.39026,neutro,0.6555,0.655492,0.005823,0.007674,0.331010
1767891118.713627,neutro,0.6738,0.673786,0.002269,0.007476,0.316468
1767891120.0675333,neutro,0.6228,0.622812,0.003161,0.006772,0.367255
1767891121.6617737,neutro,0.5245,0.524512,0.003356,0.007056,0.465076
1767891123.4034045,alegria,0.5794,0.409560,0.003778,0.007306,0.579357
1767891125.1494203,alegria,0.5487,0.441934,0.004641,0.004774,0.548651
1767891126.8777463,neutro,0.5158,0.515755,0.005132,0.002869,0.476244
1767891128.3799765,neutro,0.6697,0.669698,0.003708,0.002054,0.324541
1767891129.9471345,neutro,0.8234,0.823413,0.004195,0.001204,0.171188
1767891131.50063,neutro,0.8908,0.890807,0.043669,0.013035,0.052489
1767891132.981951,neutro,0.8556,0.855599,0.059296,0.024047,0.061057
1767891134.4642158,neutro,0.8503,0.850294,0.062677,0.025097,0.061931
1767891135.9073813,neutro,0.8499,0.849861,0.062886,0.027366,0.059887
1767891137.3270493,neutro,0.8561,0.856150,0.061772,0.029523,0.052555
1767891138.6179745,neutro,0.9179,0.917872,0.021582,0.018892,0.041654
1767891139.782452,neutro,0.7915,0.791459,0.005000,0.008532,0.195009
1767891141.029595,neutro,0.6295,0.629458,0.001048,0.007763,0.361731
1767891142.5640445,neutro,0.5880,0.587992,0.000024,0.006996,0.404988
1767891144.1610796,neutro,0.5545,0.554503,0.000023,0.015912,0.429561
1767891145.9631877,neutro,0.5100,0.509979,0.000025,0.086388,0.403608
1767891147.5909255,neutro,0.5962,0.596234,0.000037,0.163465,0.240263
1767891148.9337099,neutro,0.5914,0.591372,0.000809,0.334599,0.073221
1767891150.2551882,neutro,0.4840,0.484022,0.002287,0.483475,0.030216
1767891151.4545074,ira,0.5494,0.434279,0.013532,0.549435,0.002754
1767891152.7642972,neutro,0.4885,0.488524,0.021702,0.487229,0.002545
1767891154.0554292,neutro,0.5467,0.546692,0.025475,0.426283,0.001550
1767891155.3385684,neutro,0.6695,0.669508,0.073566,0.256023,0.000903
1767891156.5578997,neutro,0.7899,0.789881,0.101746,0.107652,0.000721
1767891157.738344,neutro,0.8248,0.824760,0.104899,0.069471,0.000870
1767891158.9494812,neutro,0.6815,0.681470,0.099117,0.218185,0.001227
1767891160.1329331,neutro,0.5646,0.564600,0.231735,0.202484,0.001181
1767891161.3255317,neutro,0.4536,0.453592,0.343421,0.201831,0.001157
1767891162.538169,miedo,0.4211,0.375970,0.421073,0.201804,0.001153
1767891163.7273483,miedo,0.4820,0.351760,0.481958,0.165579,0.000703
1767891165.0107434,miedo,0.6641,0.329409,0.664087,0.006327,0.000178
1767891166.2443686,miedo,0.7253,0.269324,0.725260,0.005242,0.000173
1767891167.4255931,miedo,0.7423,0.252768,0.742311,0.004742,0.000178
1767891168.6048555,miedo,0.8039,0.193262,0.803903,0.002754,0.000081
1767891169.762219,miedo,0.8728,0.127173,0.872798,0.000012,0.000017
1767891170.9814894,miedo,0.8573,0.142653,0.857326,0.000003,0.000018
1767891172.149783,miedo,0.8224,0.177533,0.822445,0.000003,0.000019
1767891173.3636136,miedo,0.8222,0.177803,0.822187,0.000003,0.000007
1767891174.5482419,miedo,0.8009,0.199111,0.800879,0.000003,0.000007
1767891175.7414916,miedo,0.7898,0.210146,0.789839,0.000008,0.000007
1767891176.8949976,miedo,0.6444,0.354564,0.644382,0.001045,0.000009
1767891178.0789056,miedo,0.4879,0.449658,0.487919,0.062385,0.000038
1767891179.345597,neutro,0.5049,0.504915,0.329568,0.165170,0.000348
1767891180.6261404,neutro,0.5378,0.537848,0.187605,0.274107,0.000440
1767891181.7655485,neutro,0.6209,0.620859,0.102053,0.276589,0.000499
1767891182.9244914,neutro,0.6027,0.602693,0.120889,0.275922,0.000497
1767891184.0831168,neutro,0.5364,0.536366,0.248534,0.214633,0.000467
1767891185.1962013,neutro,0.5231,0.523055,0.364743,0.112045,0.000157
1767891186.3642304,neutro,0.5364,0.536398,0.460227,0.003311,0.000064
1767891187.4858444,miedo,0.5806,0.418582,0.580590,0.000826,0.000002
1767891188.6152773,miedo,0.5402,0.458445,0.540184,0.000459,0.000912
1767891189.7367992,neutro,0.5887,0.588685,0.407028,0.000418,0.003869
1767891190.8790653,neutro,0.7197,0.719665,0.272303,0.000227,0.007805
1767891191.9853606,neutro,0.8200,0.819964,0.172176,0.000024,0.007836
1767891193.1010695,neutro,0.9849,0.984900,0.007215,0.000021,0.007865
1767891194.3301945,neutro,0.9461,0.946103,0.046565,0.000019,0.007313
1767891195.542731,neutro,0.9445,0.944548,0.049441,0.000007,0.006004
1767891196.674795,neutro,0.9479,0.947874,0.049375,0.000002,0.002749
1767891197.8468294,neutro,0.9484,0.948400,0.048645,0.000003,0.002952
1767891199.0226612,neutro,0.9473,0.947255,0.045812,0.000004,0.006928
1767891200.233253,neutro,0.9828,0.982792,0.005556,0.000008,0.011644
1767891201.4231355,neutro,0.9848,0.984786,0.004648,0.000010,0.010556
1767891202.6315114,neutro,0.9810,0.981009,0.004994,0.000018,0.013979
1767891203.7253153,neutro,0.9751,0.975120,0.004915,0.000028,0.019937
1767891204.8819103,neutro,0.9716,0.971615,0.005602,0.000028,0.022754
1767891206.0874848,neutro,0.9763,0.976343,0.004853,0.000024,0.018780
1767891207.2847176,neutro,0.9734,0.973444,0.002366,0.000022,0.024168
1767891208.486476,neutro,0.9674,0.967415,0.009959,0.000207,0.022419
1767891209.6395795,neutro,0.9680,0.967986,0.011106,0.000236,0.020672
1767891210.8115466,neutro,0.9725,0.972534,0.010353,0.000235,0.016878
1767891211.9803543,neutro,0.9718,0.971847,0.010064,0.000235,0.017854
1767891213.1936312,neutro,0.9755,0.975519,0.011323,0.000235,0.012923
1767891214.4067268,neutro,0.9417,0.941655,0.047612,0.000041,0.010692
1767891215.651477,neutro,0.9337,0.933695,0.060054,0.000002,0.006249
1767891216.8853714,neutro,0.7988,0.798795,0.197976,0.000006,0.003223
1767891218.1286144,neutro,0.6032,0.603224,0.395624,0.000006,0.001146
1767891219.32885,miedo,0.5868,0.413080,0.586783,0.000009,0.000128
1767891220.556155,miedo,0.6836,0.316339,0.683621,0.000035,0.000005
1767891221.748146,miedo,0.7307,0.269164,0.730740,0.000093,0.000003
1767891223.0084593,miedo,0.7250,0.274887,0.724985,0.000127,0.000001
1767891224.1764603,miedo,0.6953,0.304521,0.695329,0.000148,0.000002
1767891225.3909786,miedo,0.6670,0.332865,0.666965,0.000169,0.000002
1767891226.6086552,miedo,0.5274,0.472349,0.527424,0.000170,0.000057
1767891227.8970926,neutro,0.5302,0.530233,0.466538,0.000308,0.002921
1767891229.1240778,neutro,0.6589,0.658875,0.334284,0.000901,0.005940
1767891230.3857582,neutro,0.8253,0.825291,0.166218,0.001358,0.007133
1767891231.688186,neutro,0.8365,0.836467,0.155058,0.001334,0.007141
1767891232.861208,neutro,0.7119,0.711941,0.279657,0.001307,0.007095
1767891234.0766406,neutro,0.7074,0.707375,0.286468,0.001110,0.005048
1767891235.207925,neutro,0.7096,0.709636,0.287363,0.000479,0.002522
1767891236.6076665,neutro,0.7080,0.707984,0.290052,0.000002,0.001962
1767891237.8354151,neutro,0.7217,0.721689,0.276254,0.000003,0.002053
1767891239.2125084,neutro,0.7250,0.724992,0.272902,0.000004,0.002102
1767891240.5855994,neutro,0.5914,0.591407,0.407297,0.000004,0.001292
1767891241.8758051,neutro,0.5229,0.522929,0.476243,0.000004,0.000825
1767891243.2365224,miedo,0.6590,0.340773,0.659029,0.000004,0.000194
1767891244.4637291,miedo,0.7187,0.281171,0.718733,0.000002,0.000094
1767891245.6278892,miedo,0.7946,0.205339,0.794624,0.000002,0.000035
1767891246.9435055,miedo,0.8531,0.146870,0.853101,0.000001,0.000027
1767891248.3649695,miedo,0.9719,0.028130,0.971868,0.000001,0.000002
1767891249.8153565,miedo,0.9770,0.023002,0.976997,0.000001,0.000000
1767891251.1432567,miedo,0.9720,0.028025,0.971974,0.000001,0.000001
1767891252.3836844,miedo,0.9013,0.098702,0.901297,0.000001,0.000001
1767891253.624318,miedo,0.7050,0.292825,0.705038,0.000056,0.002080
1767891254.8895001,miedo,0.5190,0.470783,0.518992,0.000303,0.009922
1767891256.1840057,neutro,0.6371,0.637132,0.345467,0.000743,0.016658
1767891257.6502538,neutro,0.8240,0.823998,0.155394,0.001528,0.019080
1767891258.8947737,neutro,0.8765,0.876482,0.027457,0.001845,0.094216
1767891260.3460577,neutro,0.8806,0.880590,0.024651,0.001791,0.092968
1767891261.765661,neutro,0.8788,0.878792,0.034517,0.001543,0.085148
1767891263.407548,neutro,0.8379,0.837865,0.082607,0.001104,0.078424
1767891265.0002797,neutro,0.8357,0.835716,0.087827,0.000320,0.076137
1767891266.5548291,neutro,0.9087,0.908736,0.090032,0.000003,0.001230
1767891268.124837,neutro,0.9086,0.908625,0.090561,0.000002,0.000812
1767891269.5643399,neutro,0.9188,0.918761,0.080296,0.000002,0.000940
1767891271.0451262,neutro,0.9563,0.956304,0.042658,0.000002,0.001036
1767891272.5440078,neutro,0.9595,0.959485,0.036911,0.000018,0.003587
1767891273.886293,neutro,0.9111,0.911087,0.034622,0.000023,0.054267
1767891275.414416,neutro,0.9105,0.910454,0.035666,0.000023,0.053856
1767891277.1717548,neutro,0.8194,0.819369,0.126822,0.000024,0.053785
1767891278.934166,neutro,0.8031,0.803062,0.142723,0.000025,0.054190
1767891280.5905018,neutro,0.8053,0.805336,0.141467,0.000009,0.053187
1767891282.0961828,neutro,0.8552,0.855227,0.141838,0.000004,0.002931
1767891283.875628,neutro,0.8454,0.845371,0.151611,0.000015,0.003002
1767891285.6590369,neutro,0.8941,0.894114,0.102070,0.000889,0.002927
1767891287.1605692,neutro,0.8911,0.891120,0.105111,0.001355,0.002414
1767891288.8678777,neutro,0.7965,0.796509,0.200827,0.001929,0.000735
1767891290.4299095,neutro,0.6126,0.612584,0.385400,0.001934,0.000082
1767891292.041367,neutro,0.5322,0.532172,0.465849,0.001923,0.000056
1767891293.7607121,neutro,0.5755,0.575545,0.422628,0.001048,0.000778
1767891295.5328093,neutro,0.6212,0.621246,0.376417,0.000581,0.001756
1767891297.233651,neutro,0.7185,0.718536,0.279475,0.000006,0.001983
1767891298.9335153,neutro,0.8171,0.817128,0.180859,0.000002,0.002011
1767891300.5901768,neutro,0.8440,0.844001,0.154023,0.000001,0.001974
1767891302.2377791,neutro,0.8309,0.830933,0.167713,0.000002,0.001353
1767891303.7940183,neutro,0.8282,0.828212,0.169473,0.000008,0.002307
1767891305.3199933,neutro,0.8131,0.813108,0.184146,0.000065,0.002682
1767891306.759897,neutro,0.8291,0.829056,0.168017,0.000164,0.002763
1767891308.245891,neutro,0.8008,0.800837,0.193877,0.001714,0.003572
1767891309.9037151,neutro,0.6461,0.646074,0.348008,0.002415,0.003503
1767891311.5741022,miedo,0.5252,0.469937,0.525172,0.003287,0.001604
1767891313.2458472,miedo,0.6168,0.376405,0.616769,0.005344,0.001482
1767891314.8579266,miedo,0.5699,0.405508,0.569907,0.020478,0.004107
1767891316.6089997,miedo,0.4785,0.410686,0.478465,0.020815,0.090034
1767891318.547489,neutro,0.4844,0.484386,0.310088,0.024929,0.180597
1767891320.4413455,neutro,0.5733,0.573280,0.130897,0.029946,0.265877
1767891322.4125304,neutro,0.5933,0.593331,0.023728,0.035274,0.347666
1767891324.0881426,alegria,0.5274,0.452147,0.000004,0.020462,0.527387
1767891325.6234715,alegria,0.5775,0.403258,0.000041,0.019247,0.577454
1767891327.1927347,alegria,0.6129,0.371610,0.000130,0.015391,0.612869
1767891328.6827624,alegria,0.6133,0.327443,0.045485,0.013729,0.613343
1767891330.3023303,alegria,0.5324,0.351043,0.107220,0.009308,0.532429
1767891331.785644,neutro,0.4375,0.437532,0.126169,0.080197,0.356102
1767891333.1910255,neutro,0.5197,0.519726,0.131272,0.109611,0.239392
1767891335.0565093,neutro,0.6131,0.613126,0.144698,0.109987,0.132189
1767891337.1090536,neutro,0.7348,0.734781,0.102121,0.107889,0.055209
1767891338.929134,neutro,0.7710,0.770970,0.044989,0.109358,0.074682
1767891341.1094208,neutro,0.7853,0.785334,0.092237,0.041472,0.080958
1767891343.5437503,neutro,0.8149,0.814885,0.091133,0.012133,0.081848
1767891346.1070166,neutro,0.8142,0.814170,0.078317,0.011443,0.096070
1767891348.5340526,neutro,0.8116,0.811567,0.075586,0.009598,0.103249
1767891350.5860562,neutro,0.8405,0.840487,0.070989,0.005784,0.082740
1767891352.6101208,neutro,0.9100,0.910025,0.004808,0.011247,0.073920
1767891354.4716713,neutro,0.8504,0.850386,0.002601,0.019884,0.127128
1767891356.67225,neutro,0.8200,0.820046,0.005835,0.024915,0.149204
1767891358.9162788,neutro,0.8239,0.823869,0.006765,0.026781,0.142585
1767891360.6535594,neutro,0.8021,0.802073,0.007491,0.026674,0.163761
1767891362.6133096,neutro,0.8015,0.801460,0.012414,0.019296,0.166830
1767891364.5870335,neutro,0.8848,0.884845,0.011264,0.010570,0.093321
1767891366.4051163,neutro,0.9131,0.913131,0.015529,0.020005,0.051336
1767891368.372061,neutro,0.9158,0.915752,0.014553,0.023132,0.046563
1767891370.1535444,neutro,0.8775,0.877539,0.013820,0.075390,0.033251
1767891371.8519168,neutro,0.7958,0.795808,0.008878,0.168582,0.026732
1767891373.8744125,neutro,0.7096,0.709610,0.008198,0.256086,0.026106
1767891375.844483,neutro,0.6519,0.651921,0.000001,0.334976,0.013102
1767891377.7903843,neutro,0.5617,0.561743,0.000000,0.429635,0.008622
1767891379.54481,neutro,0.5897,0.589656,0.000004,0.409850,0.000489
1767891381.990825,neutro,0.5679,0.567926,0.001883,0.429797,0.000394
1767891384.3184428,neutro,0.5327,0.532706,0.005977,0.460975,0.000343
1767891386.8061166,neutro,0.5280,0.527988,0.006203,0.465579,0.000231
1767891388.970178,neutro,0.5731,0.573090,0.006274,0.420520,0.000116
1767891391.0205815,neutro,0.5725,0.572466,0.030383,0.397064,0.000087
1767891393.04691,neutro,0.6667,0.666703,0.049130,0.284114,0.000052
1767891395.4499748,neutro,0.7572,0.757195,0.077516,0.165251,0.000038
1767891398.1081378,neutro,0.8178,0.817799,0.104321,0.077638,0.000242
1767891400.899266,neutro,0.8492,0.849152,0.111134,0.038184,0.001530
1767891403.4290762,neutro,0.8080,0.808037,0.087024,0.063795,0.041144
1767891405.7058716,neutro,0.8102,0.810233,0.066400,0.072694,0.050673
1767891407.7513375,neutro,0.8178,0.817801,0.033977,0.094573,0.053648
1767891409.801475,neutro,0.8428,0.842761,0.006994,0.096131,0.054113
1767891411.7661004,neutro,0.8628,0.862785,0.000381,0.083787,0.053047
1767891413.9930513,neutro,0.9316,0.931643,0.003136,0.051701,0.013520
1767891416.0136652,neutro,0.9324,0.932433,0.020910,0.042668,0.003990
1767891417.9196866,neutro,0.9177,0.917650,0.059878,0.021457,0.001015
1767891419.650625,neutro,0.8902,0.890189,0.100085,0.009384,0.000343
1767891421.355956,neutro,0.7735,0.773507,0.099837,0.041562,0.085094
1767891423.215223,neutro,0.6611,0.661053,0.097087,0.041497,0.200363
1767891424.9830208,neutro,0.5641,0.564108,0.079313,0.041939,0.314640
1767891426.659317,alegria,0.4718,0.446497,0.040288,0.041462,0.471753
1767891428.6599784,alegria,0.6161,0.337059,0.005399,0.041413,0.616129
1767891430.961586,alegria,0.5331,0.363479,0.096955,0.006492,0.533074
1767891433.1052055,neutro,0.4694,0.469355,0.109480,0.003447,0.417719
1767891434.9410326,neutro,0.5060,0.505997,0.189101,0.001443,0.303459
1767891436.6918917,neutro,0.4916,0.491620,0.361259,0.000773,0.146348
1767891438.307834,neutro,0.5191,0.519097,0.478568,0.000345,0.001989
1767891440.0619411,miedo,0.5550,0.444825,0.555030,0.000007,0.000138
1767891442.3863413,miedo,0.6398,0.359579,0.639763,0.000287,0.000371
1767891444.1851654,miedo,0.6135,0.380429,0.613538,0.005549,0.000484
1767891446.350498,neutro,0.5247,0.524714,0.453176,0.016450,0.005660
1767891448.5676732,neutro,0.5969,0.596851,0.366238,0.020669,0.016241
1767891450.9873388,neutro,0.7162,0.716198,0.237507,0.023583,0.022712
1767891453.2284856,neutro,0.8031,0.803095,0.143576,0.024860,0.028468
1767891455.6241252,neutro,0.7713,0.771344,0.170897,0.019936,0.037823
1767891457.626246,neutro,0.6150,0.615046,0.343276,0.009035,0.032643
1767891460.0100572,neutro,0.4945,0.494482,0.478660,0.004815,0.022043
1767891462.2393825,miedo,0.6124,0.370167,0.612429,0.001897,0.015507
1767891464.5212858,miedo,0.8017,0.188449,0.801719,0.000341,0.009491
1767891466.587178,miedo,0.9192,0.080746,0.919249,0.000003,0.000002
1767891468.7016551,miedo,0.9286,0.071406,0.928588,0.000004,0.000002
1767891471.0806236,miedo,0.7629,0.236996,0.762932,0.000058,0.000015
1767891473.4948697,miedo,0.5905,0.409421,0.590488,0.000073,0.000017
1767891475.6819038,miedo,0.5935,0.406387,0.593523,0.000073,0.000017
1767891477.3432355,miedo,0.5854,0.414535,0.585375,0.000073,0.000017
1767891479.6229155,miedo,0.5845,0.415363,0.584549,0.000072,0.000017
1767891481.8921177,miedo,0.7171,0.282905,0.717068,0.000023,0.000004
1767891484.118422,miedo,0.7166,0.180116,0.716606,0.103221,0.000058
1767891486.5253897,miedo,0.5227,0.286375,0.522714,0.190839,0.000072
1767891488.7058456,miedo,0.3562,0.329208,0.356226,0.314391,0.000175
1767891491.5437372,neutro,0.3678,0.367828,0.309279,0.322683,0.000210
