timestamp,label,conf,p_neutro,p_miedo,p_ira,p_alegria
1767912083.3965282,miedo,0.6523,0.252522,0.652320,0.093722,0.001435
1767912084.55714,miedo,0.7319,0.266896,0.731947,0.001140,0.000017
1767912085.74668,miedo,0.6507,0.319765,0.650664,0.028866,0.000706
1767912086.9209557,miedo,0.4760,0.295477,0.476016,0.227521,0.000985
1767912088.0981927,ira,0.4244,0.294495,0.278726,0.424369,0.002410
1767912089.2688653,ira,0.6201,0.292145,0.083358,0.620085,0.004412
1767912090.421141,ira,0.7731,0.189256,0.002737,0.773098,0.034908
1767912091.6271286,ira,0.8012,0.152388,0.000009,0.801183,0.046420
1767912092.82788,ira,0.6209,0.318233,0.000008,0.620854,0.060905
1767912094.0634677,neutro,0.4790,0.478956,0.000008,0.454662,0.066374
1767912095.2881138,neutro,0.6405,0.640503,0.000008,0.288339,0.071150
1767912096.4845765,neutro,0.7896,0.789568,0.000003,0.160850,0.049579
1767912097.6648412,neutro,0.8548,0.854844,0.000004,0.105911,0.039242
1767912098.846628,neutro,0.8852,0.885158,0.000011,0.088170,0.026661
1767912099.9926035,neutro,0.8737,0.873689,0.000018,0.062639,0.063655
1767912101.1712213,neutro,0.7777,0.777665,0.000019,0.040915,0.181402
1767912102.4204457,neutro,0.7166,0.716577,0.000019,0.024731,0.258673
1767912103.6393003,neutro,0.6611,0.661087,0.000019,0.035060,0.303834
1767912104.8627548,neutro,0.6285,0.628483,0.000012,0.047357,0.324147
1767912106.0761003,neutro,0.6395,0.639514,0.000006,0.053972,0.306508
1767912107.2835777,neutro,0.7616,0.761647,0.000005,0.050850,0.187497
1767912108.4841495,neutro,0.8406,0.840599,0.000006,0.049416,0.109979
1767912109.7850251,neutro,0.8672,0.867226,0.000012,0.055357,0.077406
1767912110.9551983,neutro,0.8420,0.842003,0.000011,0.060068,0.097917
1767912112.1508934,neutro,0.8714,0.871371,0.000011,0.052906,0.075712
1767912113.345301,neutro,0.8745,0.874491,0.000010,0.051830,0.073669
1767912114.5743647,neutro,0.8844,0.884394,0.000009,0.047275,0.068323
1767912115.7512913,neutro,0.9078,0.907836,0.000002,0.034026,0.058135
1767912116.9951625,neutro,0.9589,0.958928,0.000003,0.021039,0.020030
1767912118.189209,neutro,0.9617,0.961652,0.000003,0.019636,0.018709
1767912119.3708017,neutro,0.9660,0.966009,0.000003,0.018241,0.015747
1767912120.5719159,neutro,0.9541,0.954081,0.000003,0.031088,0.014828
1767912121.815904,neutro,0.9127,0.912661,0.000002,0.053805,0.033531
1767912123.0707595,neutro,0.8942,0.894219,0.000004,0.060175,0.045601
1767912124.3099847,neutro,0.8466,0.846639,0.000161,0.059424,0.093776
