timestamp,label,conf,p_neutro,p_miedo,p_ira,p_alegria
1766083994.7287295,miedo,0.9934,0.006640,0.993356,0.000001,0.000003
1766083995.7739465,miedo,0.9913,0.008647,0.991348,0.000001,0.000004
1766083996.7909627,miedo,0.9850,0.014999,0.984990,0.000002,0.000009
1766083997.841126,miedo,0.9839,0.016136,0.983852,0.000002,0.000010
1766083998.8927228,miedo,0.9846,0.015377,0.984612,0.000001,0.000010
1766083999.9141784,miedo,0.9849,0.015046,0.984944,0.000001,0.000009
1766084000.958685,miedo,0.9774,0.022609,0.977383,0.000001,0.000007
1766084001.9970653,miedo,0.9570,0.042971,0.957026,0.000001,0.000002
1766084003.0455918,miedo,0.9537,0.046254,0.953743,0.000001,0.000001
1766084004.0772593,miedo,0.9417,0.058289,0.941708,0.000001,0.000001
1766084005.0981126,miedo,0.9368,0.063208,0.936789,0.000002,0.000001
1766084006.132435,miedo,0.9402,0.059791,0.940205,0.000004,0.000001
1766084007.181622,miedo,0.9417,0.058263,0.941723,0.000013,0.000000
1766084008.2158778,miedo,0.9232,0.076796,0.923162,0.000041,0.000001
1766084009.2461722,miedo,0.9350,0.064911,0.935043,0.000046,0.000001
1766084010.2785077,miedo,0.9413,0.058618,0.941334,0.000047,0.000001
1766084011.3256931,miedo,0.9489,0.051024,0.948928,0.000047,0.000001
1766084012.3740718,miedo,0.9750,0.024922,0.975038,0.000040,0.000001
1766084013.4176674,miedo,0.9982,0.001818,0.998163,0.000018,0.000000
1766084014.4465282,miedo,0.9976,0.002402,0.997574,0.000024,0.000000
1766084015.4905238,miedo,0.9954,0.004598,0.995370,0.000032,0.000000
1766084016.5393565,miedo,0.9919,0.008094,0.991867,0.000038,0.000000
1766084017.5781555,miedo,0.9882,0.011719,0.988232,0.000049,0.000000
1766084018.6259735,miedo,0.9859,0.014050,0.985893,0.000056,0.000000
1766084019.6705506,miedo,0.9852,0.014779,0.985164,0.000058,0.000000
1766084020.7064507,miedo,0.9851,0.014883,0.985056,0.000061,0.000000
1766084021.7550411,miedo,0.9847,0.015243,0.984683,0.000074,0.000000
