timestamp,label,conf,p_neutro,p_miedo,p_ira,p_alegria
1767808435.844485,neutro,0.6967,0.696696,0.150601,0.023303,0.129400
1767808436.843136,neutro,0.7334,0.733431,0.103609,0.025241,0.137720
1767808437.8632643,neutro,0.7602,0.760219,0.095709,0.022765,0.121306
1767808438.8873937,neutro,0.7332,0.733195,0.190484,0.022180,0.054141
1767808439.926489,neutro,0.7839,0.783918,0.168636,0.018819,0.028627
1767808440.9598956,neutro,0.8240,0.824031,0.136261,0.020353,0.019354
1767808442.0051928,neutro,0.8688,0.868779,0.113461,0.014720,0.003040
1767808443.0368545,neutro,0.8004,0.800401,0.182447,0.014513,0.002639
1767808444.0526981,neutro,0.7268,0.726848,0.259046,0.011732,0.002373
1767808445.0853162,neutro,0.5581,0.558067,0.428471,0.011346,0.002116
1767808446.1184385,miedo,0.5825,0.414626,0.582479,0.001527,0.001367
1767808447.1605003,miedo,0.7646,0.233850,0.764645,0.001500,0.000005
1767808448.1689208,miedo,0.8749,0.123538,0.874865,0.001585,0.000012
1767808449.2031534,miedo,0.7172,0.102855,0.717193,0.178484,0.001467
1767808450.2530322,miedo,0.5475,0.091947,0.547461,0.358898,0.001694
1767808451.2749555,ira,0.4896,0.115037,0.393593,0.489587,0.001783
1767808452.3114543,ira,0.5717,0.200783,0.225499,0.571700,0.002018
1767808453.3503065,ira,0.5937,0.249797,0.154493,0.593680,0.002031
1767808454.3921602,ira,0.4231,0.272196,0.304086,0.423134,0.000584
1767808455.4333308,miedo,0.4772,0.275666,0.477204,0.246748,0.000381
1767808456.43408,miedo,0.5194,0.345424,0.519420,0.134737,0.000418
1767808457.4502661,miedo,0.5117,0.431083,0.511723,0.056779,0.000414
1767808458.476617,neutro,0.5065,0.506458,0.426048,0.066221,0.001273
1767808459.517467,neutro,0.6195,0.619487,0.281852,0.096536,0.002126
1767808460.541057,neutro,0.7308,0.730776,0.166755,0.100291,0.002178
1767808461.5681236,neutro,0.7791,0.779076,0.128495,0.081237,0.011192
1767808462.5602233,neutro,0.6079,0.607903,0.305037,0.076096,0.010965
1767808463.5546515,neutro,0.4797,0.479659,0.465659,0.044594,0.010087
1767808464.5812774,miedo,0.6261,0.356736,0.626058,0.007934,0.009272
1767808465.5992808,miedo,0.6299,0.344909,0.629918,0.013559,0.011614
1767808466.6269107,miedo,0.6357,0.347200,0.635671,0.013444,0.003685
1767808467.629792,miedo,0.4925,0.490399,0.492458,0.013442,0.003701
1767808468.6326551,neutro,0.4957,0.495658,0.487209,0.013431,0.003701
1767808469.6457222,miedo,0.4916,0.491309,0.491618,0.013418,0.003655
1767808470.6450381,miedo,0.6132,0.385595,0.613162,0.000006,0.001237
1767808471.652094,miedo,0.7889,0.211114,0.788858,0.000002,0.000026
1767808472.680342,miedo,0.9434,0.056622,0.943376,0.000002,0.000000
1767808473.6627164,miedo,0.9396,0.060387,0.939612,0.000001,0.000000
1767808474.694855,miedo,0.9245,0.075473,0.924525,0.000002,0.000000
1767808475.7400746,miedo,0.9107,0.089259,0.910739,0.000002,0.000000
1767808476.751817,miedo,0.8677,0.132308,0.867688,0.000003,0.000001
1767808477.7775385,miedo,0.7381,0.261874,0.738117,0.000006,0.000003
1767808478.8050969,miedo,0.7043,0.295700,0.704277,0.000009,0.000014
1767808479.8130667,miedo,0.7107,0.289315,0.710661,0.000010,0.000014
1767808480.8272116,miedo,0.7359,0.264087,0.735889,0.000009,0.000014
1767808481.805998,miedo,0.7890,0.210943,0.789034,0.000009,0.000014
1767808482.785028,miedo,0.8879,0.112050,0.887886,0.000052,0.000011
1767808483.8045213,miedo,0.9225,0.077419,0.922521,0.000058,0.000001
1767808484.8136005,miedo,0.9430,0.056909,0.943032,0.000058,0.000001
1767808485.812243,miedo,0.9474,0.052492,0.947449,0.000058,0.000001
1767808486.8383572,miedo,0.9254,0.074509,0.925417,0.000058,0.000015
1767808487.8682444,miedo,0.9512,0.048736,0.951232,0.000012,0.000020
1767808488.8888085,miedo,0.9596,0.040391,0.959586,0.000003,0.000019
1767808489.883771,miedo,0.9497,0.050249,0.949714,0.000018,0.000020
1767808490.8811045,miedo,0.9479,0.052049,0.947889,0.000024,0.000037
1767808491.9079432,miedo,0.9450,0.054756,0.944970,0.000246,0.000028
1767808492.9055562,miedo,0.9483,0.051465,0.948264,0.000248,0.000023
1767808493.9346802,miedo,0.9443,0.055448,0.944279,0.000250,0.000024
1767808494.9339583,miedo,0.9545,0.045258,0.954480,0.000239,0.000023
1767808495.9718127,miedo,0.9260,0.073434,0.925957,0.000243,0.000366
1767808497.0133493,miedo,0.8564,0.141985,0.856429,0.000337,0.001249
1767808498.0326533,miedo,0.6947,0.222523,0.694727,0.006585,0.076165
1767808499.0299356,miedo,0.6510,0.253738,0.651045,0.016558,0.078660
1767808500.0715823,miedo,0.4537,0.311443,0.453651,0.071849,0.163056
1767808501.065556,neutro,0.4632,0.463172,0.302123,0.071874,0.162832
1767808502.0759172,neutro,0.3959,0.395930,0.370556,0.071571,0.161942
1767808503.090312,miedo,0.5354,0.312292,0.535360,0.065321,0.087027
1767808504.133183,neutro,0.4524,0.452411,0.407692,0.055354,0.084543
1767808505.148231,neutro,0.5686,0.568606,0.431165,0.000077,0.000152
1767808506.1448815,neutro,0.5514,0.551409,0.447969,0.000509,0.000113
1767808507.181318,neutro,0.6759,0.675937,0.286651,0.008858,0.028554
1767808508.2243323,neutro,0.8119,0.811896,0.131170,0.011438,0.045497
1767808509.1793206,neutro,0.6822,0.682177,0.228118,0.030438,0.059266
1767808510.2035406,neutro,0.6390,0.639009,0.208171,0.080258,0.072562
1767808511.2333512,neutro,0.5707,0.570679,0.182833,0.170423,0.076065
1767808512.239712,neutro,0.4467,0.446720,0.176184,0.316294,0.060802
1767808513.2455642,neutro,0.3345,0.334467,0.135075,0.317268,0.213191
1767808514.2534087,neutro,0.3596,0.359579,0.019451,0.299534,0.321437
1767808515.2887466,alegria,0.3270,0.293229,0.127907,0.251898,0.326966
1767808516.3116224,alegria,0.4086,0.269642,0.145066,0.176651,0.408641
1767808517.3437989,alegria,0.5769,0.249028,0.144770,0.029315,0.576887
1767808518.3602998,alegria,0.4225,0.400237,0.151032,0.026189,0.422541
1767808519.3770134,neutro,0.4842,0.484177,0.190356,0.024946,0.300521
1767808520.402948,neutro,0.6028,0.602795,0.092732,0.022775,0.281697
1767808521.4110389,neutro,0.5344,0.534353,0.066731,0.007498,0.391418
1767808522.4354153,neutro,0.6933,0.693303,0.095651,0.001001,0.210045
1767808523.4621847,neutro,0.5962,0.596171,0.208193,0.000576,0.195059
1767808524.482393,neutro,0.5646,0.564622,0.239690,0.000591,0.195098
1767808525.516757,miedo,0.4091,0.394979,0.409103,0.000567,0.195351
1767808526.528259,miedo,0.6077,0.391523,0.607661,0.000460,0.000356
1767808527.5553927,miedo,0.7577,0.240506,0.757715,0.001415,0.000364
1767808528.575899,miedo,0.6571,0.316812,0.657077,0.025615,0.000496
1767808529.6018074,miedo,0.5836,0.357791,0.583554,0.058189,0.000466
1767808530.6236172,neutro,0.5285,0.528526,0.399514,0.071450,0.000510
1767808531.6514482,neutro,0.6502,0.650206,0.237578,0.093421,0.018796
1767808532.6994338,neutro,0.6636,0.663589,0.130665,0.121256,0.084490
1767808533.706656,neutro,0.5155,0.515548,0.232552,0.165030,0.086871
1767808534.708382,neutro,0.3563,0.356316,0.238254,0.309233,0.096198
1767808535.7179196,miedo,0.3741,0.175040,0.374120,0.350248,0.100592
1767808536.7595255,miedo,0.4618,0.058510,0.461796,0.394266,0.085428
1767808537.773616,ira,0.4411,0.106452,0.432423,0.441087,0.020038
1767808538.79787,ira,0.3814,0.282060,0.318787,0.381408,0.017745
1767808539.7880473,neutro,0.3744,0.374400,0.338595,0.278115,0.008889
1767808540.7997413,neutro,0.4330,0.433020,0.216002,0.343925,0.007052
1767808541.8105226,neutro,0.4692,0.469207,0.108491,0.397583,0.024719
1767808542.8173373,neutro,0.4188,0.418821,0.230559,0.325708,0.024913
1767808543.8532507,miedo,0.3796,0.272314,0.379558,0.320511,0.027616
1767808544.7216222,miedo,0.3931,0.195855,0.393059,0.382535,0.028551
1767808545.5277793,miedo,0.4898,0.214587,0.489817,0.269878,0.025717
1767808546.3433006,miedo,0.5845,0.252883,0.584494,0.157667,0.004955
1767808547.1636288,miedo,0.5300,0.304619,0.529985,0.160969,0.004427
1767808548.1191552,miedo,0.4319,0.408638,0.431878,0.157979,0.001505
1767808549.1284773,neutro,0.5584,0.558407,0.419082,0.022428,0.000083
1767808550.1563706,neutro,0.6358,0.635814,0.349134,0.014996,0.000056
1767808551.1847541,neutro,0.7501,0.750082,0.238915,0.010929,0.000074
1767808552.2075958,neutro,0.8096,0.809629,0.127303,0.050935,0.012134
1767808553.212368,neutro,0.8033,0.803284,0.069885,0.087599,0.039232
1767808554.2287989,neutro,0.7795,0.779525,0.043242,0.090761,0.086472
1767808555.224464,neutro,0.7219,0.721932,0.037468,0.095555,0.145045
1767808556.2048686,neutro,0.6810,0.680997,0.079455,0.093530,0.146018
1767808557.202927,neutro,0.7028,0.702829,0.109872,0.051867,0.135432
1767808558.2260282,neutro,0.7389,0.738937,0.131730,0.019783,0.109550
1767808559.2508278,neutro,0.7715,0.771517,0.145091,0.019974,0.063419
1767808560.232751,neutro,0.8258,0.825819,0.134524,0.020841,0.018816
1767808561.2707882,neutro,0.7854,0.785424,0.160937,0.026423,0.027216
1767808562.2619562,neutro,0.7344,0.734375,0.214231,0.025064,0.026330
