timestamp,label,conf,p_neutro,p_miedo,p_ira,p_alegria
1767823287.959288,miedo,0.7495,0.250175,0.749470,0.000072,0.000283
1767823288.9271154,miedo,0.7639,0.235703,0.763948,0.000065,0.000283
1767823289.912339,miedo,0.8319,0.167774,0.831928,0.000015,0.000283
1767823290.9127398,miedo,0.6799,0.319858,0.679850,0.000038,0.000253
1767823291.9135208,miedo,0.6984,0.240829,0.698442,0.059128,0.001601
1767823292.8983617,miedo,0.6992,0.232913,0.699222,0.066055,0.001811
1767823293.8997416,miedo,0.6962,0.235669,0.696184,0.066334,0.001813
1767823294.9173527,miedo,0.7024,0.229475,0.702370,0.066342,0.001813
1767823295.9035587,miedo,0.8941,0.037785,0.894115,0.066315,0.001786
1767823296.904207,miedo,0.9719,0.020669,0.971886,0.007223,0.000223
1767823297.9218242,miedo,0.9851,0.014600,0.985102,0.000295,0.000003
1767823298.9080563,miedo,0.8895,0.110400,0.889471,0.000128,0.000001
1767823299.8646398,miedo,0.7773,0.222544,0.777321,0.000131,0.000004
1767823300.8740275,miedo,0.7220,0.277801,0.722026,0.000163,0.000011
1767823301.844056,miedo,0.6220,0.377654,0.622012,0.000309,0.000025
1767823302.8156135,miedo,0.5741,0.425519,0.574137,0.000318,0.000026
1767823303.7868884,miedo,0.6094,0.390373,0.609372,0.000226,0.000029
1767823304.764819,miedo,0.6161,0.383458,0.616127,0.000350,0.000066
1767823305.749328,miedo,0.4990,0.497032,0.498981,0.003927,0.000060
1767823306.720528,neutro,0.4929,0.492928,0.416874,0.090150,0.000048
1767823307.7206886,neutro,0.4653,0.465279,0.444482,0.090191,0.000049
1767823308.6696155,miedo,0.4876,0.422219,0.487558,0.090179,0.000045
1767823309.636433,miedo,0.5886,0.321344,0.588609,0.090041,0.000006
1767823310.6410797,miedo,0.7617,0.151867,0.761698,0.086430,0.000005
1767823311.6421366,miedo,0.9440,0.055932,0.944004,0.000061,0.000003
1767823312.6123438,miedo,0.9655,0.034530,0.965458,0.000011,0.000001
1767823313.5839539,miedo,0.9863,0.013732,0.986264,0.000004,0.000000
1767823314.599274,miedo,0.9889,0.011102,0.988897,0.000001,0.000000
1767823315.5809915,miedo,0.9718,0.028178,0.971816,0.000005,0.000000
1767823316.6307156,miedo,0.9366,0.063396,0.936584,0.000020,0.000000
1767823317.6368132,miedo,0.8732,0.126767,0.873210,0.000023,0.000000
1767823318.6079552,miedo,0.8536,0.146381,0.853596,0.000023,0.000000
1767823319.655815,miedo,0.8513,0.148632,0.851344,0.000024,0.000000
